행정구역별(시도),가구원수,가구-계,반려동물미보유가구-계,반려동물보유가구-계,단일-계,단일-개,단일-고양이,단일-기타,복합-계,복합-개+고양이,복합-개+기타,복합-고양이+기타,복합-개+고양이+기타
서울특별시,1인가구,1390701,1280487,110214,106726,66930,35213,4583,3488,3183,143,126,36
서울특별시,2인가구,1034001,897872,136129,131350,96888,30302,4160,4779,4341,238,147,53
서울특별시,3인가구,792462,666905,125557,120696,92134,22310,6252,4861,4342,292,129,98
서울특별시,4인가구,602994,503905,99089,94795,69639,17548,7608,4294,3712,356,142,84
서울특별시,5인가구,132533,110020,22513,21343,15668,3918,1757,1170,961,132,58,19
서울특별시,6인가구,24435,20533,3902,3726,2694,658,374,176,147,29,-,-
서울특별시,7인이상가구,5164,4455,709,648,466,116,66,61,54,-,-,7
부산광역시,1인가구,455207,416064,39143,37693,25656,10600,1437,1450,1361,57,22,10
부산광역시,2인가구,411486,356941,54545,52335,40230,10821,1284,2210,2011,151,39,9
부산광역시,3인가구,282295,234984,47311,45158,34006,9160,1992,2153,1957,115,60,21
부산광역시,4인가구,203688,169392,34296,32709,23106,6895,2708,1587,1460,62,51,14
부산광역시,5인가구,43762,36279,7483,7051,5141,1290,620,432,339,32,29,32
부산광역시,6인가구,7043,5777,1266,1215,875,259,81,51,44,7,-,-
부산광역시,7인이상가구,1556,1318,238,218,176,26,16,20,10,10,-,-
대구광역시,1인가구,304543,280084,24459,23581,16657,6144,780,878,782,74,4,18
대구광역시,2인가구,276409,242596,33813,32562,25339,6366,857,1251,1188,34,5,24
대구광역시,3인가구,205014,173533,31481,30157,23256,5417,1484,1324,1223,77,19,5
대구광역시,4인가구,159560,135270,24290,23299,16925,4463,1911,991,864,83,32,12
대구광역시,5인가구,33983,28936,5047,4816,3458,895,463,231,198,11,12,10
대구광역시,6인가구,5362,4490,872,832,631,151,50,40,36,-,4,-
대구광역시,7인이상가구,945,811,134,134,105,14,15,-,-,-,-,-
인천광역시,1인가구,324841,289076,35765,34408,24890,8497,1021,1357,1215,92,29,21
인천광역시,2인가구,316006,259756,56250,53665,42500,9850,1315,2585,2350,149,33,53
인천광역시,3인가구,252093,200117,51976,49571,39355,8231,1985,2405,2152,165,30,58
인천광역시,4인가구,198658,159540,39118,37146,28478,6194,2474,1972,1740,131,60,41
인천광역시,5인가구,45624,36251,9373,8831,6710,1466,655,542,457,62,18,5
인천광역시,6인가구,8132,6541,1591,1495,1178,241,76,96,96,-,-,-
인천광역시,7인이상가구,1846,1532,314,296,237,36,23,18,15,3,-,-
광주광역시,1인가구,193948,178037,15911,15356,10837,3980,539,555,504,21,16,14
