desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel
4.48532E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111406673_s.jpg,20230611,이동 649-7 앞 도로 부근,[개] 푸들,흰색,2015(년생),6(Kg),경남-창원3-2023-00211,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306111406673.jpg,종료(반환),M,Y,[Table],진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701
4.48528E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111406186_s.jpg,20230611,양덕북9길13 엘렌시아아파트 주변,[개] 믹스견,검정+갈색,2023(60일미만)(년생),1(Kg),경남-창원2-2023-00187,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306111406186.jpg,보호중,M,N,[Table],마산유기동물보호소,055-225-5701,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701
4.47508E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111306451_s.jpg,20230611,상림112 지구대,[개] 이탈리안 그레이 하운드,검은색,2017(년생),5.2(Kg),경북-구미-2023-00219,20230611,20230623,http://www.animal.go.kr/files/shelter/2023/05/202306111306451.jpg,보호중,M,N,[Table],구미시 동물보호센터,054-471-5718,경상북도 구미시 해평면 낙동대로 2206  ,경상북도 구미시,백창훈,054-480-5844
4.46496E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111406900_s.jpg,20230611,학교면 둔기길61-5,[개] 믹스견,바둑이,2022(년생),5.00(Kg),전남-함평-2023-00229,20230611,20230626,http://www.animal.go.kr/files/shelter/2023/05/202306111406900.jpg,보호중,M,U,[Table],학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,함평군,061-320-1936
4.46496E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111406980_s.jpg,20230611,학교면 둔기길 61-2,[개] 믹스견,갈색,2022(년생),6.00(Kg),전남-함평-2023-00228,20230611,20230626,http://www.animal.go.kr/files/shelter/2023/05/202306111406980.jpg,보호중,F,U,[Table],학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,함평군,061-320-1936
4.46496E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111406695_s.jpg,20230611,학교면 둔기길 61-2,[개] 믹스견,검정색,2022(년생),6.00(Kg),전남-함평-2023-00227,20230611,20230626,http://www.animal.go.kr/files/shelter/2023/05/202306111406695.jpg,보호중,M,U,[Table],학교동물임시보호센터,010-5649-3435,전라남도 함평군 학교면 송산길 84 (학교면) 월산리 806-1 ,전라남도 함평군,함평군,061-320-1936
4.44568E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111306273_s.jpg,20230611,당진시 당진중앙1로 195,[개] 말티즈 믹스 추정,흰,2013(년생),4.86(Kg),충남-당진-2023-00237,20230611,20230620,http://www.animal.go.kr/files/shelter/2023/05/202306111306273.jpg,보호중,M,Y,[Table],당진시동물보호소,041-356-8210,충청남도 당진시 고대면 연동로 30-6 (고대면) ,충청남도 당진시,당진시,041-350-4232
4.41386E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111206841[1]_s.jpg,20230611,심곡로 77번길 17,[고양이] 한국 고양이,갈색,2023(60일미만)(년생),0.4(Kg),경기-부천-2023-00351,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306111206841[1].jpg,보호중,F,N,[Table],가나동물병원,032-665-0075,경기도 부천시 경인로 72 (송내동) ,경기도 부천시,부천시,032-625-2803
4.41386E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111206471_s.jpg,20230611,괴안동 179-20,[고양이] 러시안 블루,은청색,2015(년생),5(Kg),경기-부천-2023-00350,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306111206471.jpg,보호중,M,Y,[Table],24시아이동물메디컬,032-677-5262,경기도 부천시 소사로 779 (원종동) 201호,경기도 부천시,부천시,032-625-2803
4.41386E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111206534_s.jpg,20230611,까치울역 3번출구 앞,[개] 믹스견,"흰,갈",2017(년생),12(Kg),경기-부천-2023-00349,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306111206534.jpg,보호중,F,U,[Table],24시아이동물메디컬,032-677-5262,경기도 부천시 소사로 779 (원종동) 201호,경기도 부천시,부천시,032-625-2803
4.29359E+14,http://www.animal.go.kr/files/shelter/2023/05/202306110906302_s.jpg,20230611,동구 용산동,[개] 말티즈,흰색,2014(년생),3(Kg),광주-동구-2023-00139,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306110906302.jpg,종료(반환),F,U,[Table],광주 동물보호소,062-571-2808,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주광역시 동구,동구,062-608-2724
4.48567E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111206901_s.jpg,20230610,의창구 소답동 955,[개] 포메라니안,흰색,2020(년생),5.6(Kg),경남-창원1-2023-00282,20230611,20230619,http://www.animal.go.kr/files/shelter/2023/05/202306111206901.jpg,보호중,M,N,[Table],창원유기동물보호소,055-225-5701,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",경상남도 창원시 의창성산구,창원시의창성산구,055-225-5701
4.48532E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111406136_s.jpg,20230610,천자로 278 부근,[개] 믹스견,검정+갈색,2023(년생),5(Kg),경남-창원3-2023-00210,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306111406136.jpg,보호중,F,N,[Table],진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,경상남도 창원시 진해구,창원진해구,055-225-5701
4.48531E+14,http://www.animal.go.kr/files/shelter/2023/05/202306110906322_s.jpg,20230610,진주시 하촌로 227,[개] 믹스견,흰색+갈색,2021(년생),6.2(Kg),경남-진주-2023-00264,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306110906322.jpg,보호중,M,N,[Table],진주시유기동물보호소,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",경상남도 진주시,진주시청,055-749-6204
4.41399E+14,http://www.animal.go.kr/files/shelter/2023/05/202306111206225_s.jpg,20230610,"평내로 46 , 평내동 주공아파트",[기타축종] 앵무새,초록색,2022(년생),0.2(Kg),경기-남양주-2023-00451,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/202306111206225.jpeg,보호중,M,N,[Table],남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
4.41399E+14,http://www.animal.go.kr/files/shelter/2023/05/20230611110639_s[1].jpg,20230610,"수동면 비룡로 729 ,수동면종합행정타운",[개] 믹스견,검정,2018(년생),7.6(Kg),경기-남양주-2023-00450,20230611,20230621,http://www.animal.go.kr/files/shelter/2023/05/20230611110639.jpeg,종료(반환),F,N,[Table],남양주시동물보호센터,031-590-2785,경기도 남양주시 경강로163번길 32-27 (이패동) ,경기도 남양주시,남양주시,031-590-2324
